_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time:confidence,after,before,bodytext,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time_gold,docid,eventid,verb
1671461296,true,golden,69,"",yes_its_anchorable,0.9266,to Saudi Arabia to protect it from Iraqi expansionism .,"In addition to the estimated 45,000 Marines to ultimately be part of Operation Desert Shield , Stealth fighter planes and the aircraft carrier John F. Kennedy are also","<p>Iraq has called them `` restrictees . '' </p><p>In addition to the estimated 45,000 Marines to ultimately be part of Operation Desert Shield , Stealth fighter planes and the aircraft carrier John F. Kennedy are also <span style='color:red;'><strong>headed </strong></span>to Saudi Arabia to protect it from Iraqi expansionism . </p>",yes_its_anchorable,AP900816-0139,49,headed
1671461297,true,golden,75,"",yes_its_anchorable,0.9603,.,"However , cited by District of Columbia traffic police in December for driving under the influence of alcohol , Farkas was ordered home and","<p>On May 22 , 1995 , Farkas was made a brigadier general , and the following year he was appointed military attache at the Hungarian embassy in Washington . </p><p>However , cited by District of Columbia traffic police in December for driving under the influence of alcohol , Farkas was ordered home and <span style='color:red;'><strong>retired </strong></span>. </p>",yes_its_anchorable,APW19980418.0210,18,retired
1671461298,true,golden,82,"",yes_its_anchorable,0.8902,"0.4 percent , to 4.4 percent .",The rate for adult women,"<p>The figures showed the unemployment rate for adult men declined to 3.8 percent last month from 4.1 percent in December , the lowest figure for almost two decades . </p><p>The rate for adult women <span style='color:red;'><strong>rose </strong></span>0.4 percent , to 4.4 percent . </p>",yes_its_anchorable,NYT19980206.0460,96,rose
1671461299,true,golden,72,"",no_its_intentionwishopinion,0.4161,"Bombay on Monday and Tuesday nights from March 30 , with the third departing each Thursday from August 6 .","In a joint statement with Tourism Minister Andrew Thomson , it said two new flights would","<p>Qantas plans daily flights between Sydney and Bombay , up from the current four flights a week , to boost business and tourism ties with India , the airline announced Friday . </p><p>In a joint statement with Tourism Minister Andrew Thomson , it said two new flights would <span style='color:red;'><strong>leave </strong></span>Bombay on Monday and Tuesday nights from March 30 , with the third departing each Thursday from August 6 . </p>",no_its_recurrent,APW19980213.1320,11,leave
1671461300,true,golden,67,"",yes_its_anchorable,0.5322,to recover the remains of Christopher Howes within the next two weeks .,"Gen. Nhek Bunchhay , a loyalist of ousted Cambodian Prime Minister Prince Norodom Ranariddh , said in an interview with The Associated Press at his hilltop headquarters that he","<p>O'SMACH , Cambodia ( AP ) _ The top commander of a Cambodian resistance force said Thursday he has sent a team to recover the remains of a British mine removal expert kidnapped and presumed killed by Khmer Rouge guerrillas almost two years ago . </p><p>Gen. Nhek Bunchhay , a loyalist of ousted Cambodian Prime Minister Prince Norodom Ranariddh , said in an interview with The Associated Press at his hilltop headquarters that he <span style='color:red;'><strong>hopes </strong></span>to recover the remains of Christopher Howes within the next two weeks . </p>",yes_its_anchorable,APW19980219.0476,8,hopes
1671461301,true,golden,81,"",yes_its_anchorable,0.5856,food for humanitarian purposes .,"At a news conference , Secretary of State James A. Baker III said Jordan `` is seeking some guidance '' about a provision in the U.N. - backed trade embargo that","<p>Pentagon sources in Washington meanwhile said the Bush administration plans to deploy 45,000 Marines to the region to back up the thousands of Army , Navy and Air Force troops already in place in the gulf and the Saudi desert . </p><p>At a news conference , Secretary of State James A. Baker III said Jordan `` is seeking some guidance '' about a provision in the U.N. - backed trade embargo that <span style='color:red;'><strong>allows </strong></span>food for humanitarian purposes . </p>",no_its_intentionwishopinion,AP900816-0139,33,allows
1671461302,true,golden,71,"",no_its_intentionwishopinion,0.6343,to keep interest rates unchanged until the economy tilts clearly in one direction or another .,"With potential inflation counterbalanced by worries about possible price declines , the Fed and its chairman , Alan Greenspan , have suggested that they","<p>`` The bottom line is that we 've got a lovely economy . '' </p><p>With potential inflation counterbalanced by worries about possible price declines , the Fed and its chairman , Alan Greenspan , have suggested that they <span style='color:red;'><strong>intend </strong></span>to keep interest rates unchanged until the economy tilts clearly in one direction or another . </p>",yes_its_anchorable,NYT19980206.0460,42,intend
1671461303,true,golden,75,"",no_its_intentionwishopinion,0.8963,"the question to a national referendum next year after convention delegates voted 89-52 for a republic , with 11 abstentions .","Prime Minister John Howard , a monarchist himself , promised to","<p>CANBERRA , Australia ( AP ) _ Turning its back on 210 years of loyalty to the British royal family , a constitutional convention voted overwhelmingly Friday to make Australia a republic under its own president . </p><p>Prime Minister John Howard , a monarchist himself , promised to <span style='color:red;'><strong>put </strong></span>the question to a national referendum next year after convention delegates voted 89-52 for a republic , with 11 abstentions . </p>",no_its_intentionwishopinion,APW19980213.1310,4,put
1671461304,true,golden,74,"",no_its_intentionwishopinion,0.7215,Ukraine 's dlrs 1.2 billion debt to the company .,"Kuchma also planned to visit Russian gas giant Gazprom , most likely to","<p>The program also calls for coordination of economic reforms and joint improvement of social programs in the two countries , where many people have become impoverished during the chaotic post-Soviet transition to capitalism . </p><p>Kuchma also planned to visit Russian gas giant Gazprom , most likely to <span style='color:red;'><strong>discuss </strong></span>Ukraine 's dlrs 1.2 billion debt to the company . </p>","no_its_intentionwishopinion
no_its_hypotheticalcondition",APW19980227.0494,69,discuss
1671461305,true,golden,77,"",yes_its_anchorable,0.9553,the multinational force dispatched to Saudi Arabia .,"The move seemed aimed at heading off more trouble with Iran , which had condemned Iraq 's invasion of Kuwait on Aug. 2 but also","<p>Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran . </p><p>The move seemed aimed at heading off more trouble with Iran , which had condemned Iraq 's invasion of Kuwait on Aug. 2 but also <span style='color:red;'><strong>criticized </strong></span>the multinational force dispatched to Saudi Arabia . </p>",yes_its_anchorable,AP900815-0044,54,criticized
1671461306,true,golden,76,"",no_its_intentionwishopinion,0.5626,to dust through the grace of almighty God . '',`` The idea of a republic will,"<p>`` Well may we say ` God save the Queen , ' for nothing will save the republic , '' outraged monarchist delegate David Mitchell said . </p><p>`` The idea of a republic will <span style='color:red;'><strong>fall </strong></span>to dust through the grace of almighty God . '' </p>",no_its_abstractnonspecific,APW19980213.1310,43,fall
1671461307,true,golden,86,"",yes_its_anchorable,0.3804,punishing air strikes to continue well into the future if he does n't stop building biological and chemical weapons .,"The US military buildup in the Persian gulf continues apace , more planes headed from the united states and senior officials say Iraq 's president Saddam Hussein can","<p>Steve Hurst has that . </p><p>The US military buildup in the Persian gulf continues apace , more planes headed from the united states and senior officials say Iraq 's president Saddam Hussein can <span style='color:red;'><strong>expect </strong></span>punishing air strikes to continue well into the future if he does n't stop building biological and chemical weapons . </p>",no_its_hypotheticalcondition,CNN19980213.2130.0155,8,expect
1671461308,true,golden,73,"",yes_its_anchorable,0.9271,"the unemployment rate for adult men declined to 3.8 percent last month from 4.1 percent in December , the lowest figure for almost two decades .",The figures,"<p>`` Those fumes will exhaust themselves , and the manufacturing sector is going to start getting beat up in the spring . '' </p><p>The figures <span style='color:red;'><strong>showed </strong></span>the unemployment rate for adult men declined to 3.8 percent last month from 4.1 percent in December , the lowest figure for almost two decades . </p>",yes_its_anchorable,NYT19980206.0460,94,showed
1671461309,true,golden,74,"",yes_its_anchorable,0.9283,.,Banks remained,"<p>There have been reports of wholesale looting but food and gasoline were still available , said a spokesman , who by custom was not identified . </p><p>Banks remained <span style='color:red;'><strong>closed </strong></span>. </p>",yes_its_anchorable,AP900815-0044,103,closed
1671461310,true,golden,77,"",yes_its_anchorable,0.9085,closely with the Australian Tourist Commission to develop greater awareness of Australia in the Indian market .,Qantas ' India manager Khursheed Lam said the airline was,"<p>Thomson , in India to talk to tourism leaders , said the flights would provide extra support to the growing tourism market . </p><p>Qantas ' India manager Khursheed Lam said the airline was <span style='color:red;'><strong>working </strong></span>closely with the Australian Tourist Commission to develop greater awareness of Australia in the Indian market . </p>",yes_its_anchorable,APW19980213.1320,18,working
1671461311,true,golden,71,"",yes_its_anchorable,0.5599,the prime minister .,Newspaper reports have said Amir was infatuated with Har-Shefi and may have been trying to impress her by,"<p>Amir , 27 , is serving a life sentence for the November 1995 assassination of Rabin at a Tel Aviv peace rally . </p><p>Newspaper reports have said Amir was infatuated with Har-Shefi and may have been trying to impress her by <span style='color:red;'><strong>killing </strong></span>the prime minister . </p>",no_its_intentionwishopinion,APW19980227.0487,20,killing
1671461312,false,golden,30,4/8/2018 12:53:27,yes_its_anchorable,0.6342,"the role of `` internal and external forces prior to the genocide and subsequently , and the role of the United Nations and its agencies and the OAU before , during and after the genocide , '' the OAU said .",The investigation will,"<p>The panel also will look at the exodus of about 2 million Rwanda Hutus to neighboring countries where they lived in U.N. - run refugee camps for 2 1/2 years . </p><p>The investigation will <span style='color:red;'><strong>consider </strong></span>the role of `` internal and external forces prior to the genocide and subsequently , and the role of the United Nations and its agencies and the OAU before , during and after the genocide , '' the OAU said . </p>",no_its_intentionwishopinion,APW19980227.0489,20,consider
1671461314,true,golden,82,"",yes_its_anchorable,0.9622,"before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world .",One of the scenarios widely,"<p>The main positive for Castro to invite the Pope is international , to be able to say to the rest of the world , this government is not as closed , as intolerant , uh as totalitarian as some make it out to be . </p><p>One of the scenarios widely <span style='color:red;'><strong>advanced </strong></span>before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world . </p>",yes_its_anchorable,ABC19980120.1830.0957,22,advanced
1671461315,true,golden,69,"",no_its_negation,0.8115,"from Belgrade , the capital of Serbia , which is where the whole attack is thought to have been planned .","By mid afternoon , official Serb sources were saying the operation was over , but that has not yet been","<p>They were too afraid to stay , fearing the forces may also move their operations further afield . </p><p>By mid afternoon , official Serb sources were saying the operation was over , but that has not yet been <span style='color:red;'><strong>confirmed </strong></span>from Belgrade , the capital of Serbia , which is where the whole attack is thought to have been planned . </p>",no_its_negation,PRI19980306.2000.1675,12,confirmed
1671461316,true,golden,76,"",yes_its_anchorable,0.8715,part of the agency 's routine .,Many NASA watchers say female astronauts have,<p>No one held her back . </p><p>Many NASA watchers say female astronauts have <span style='color:red;'><strong>become </strong></span>part of the agency 's routine . </p>,yes_its_anchorable,ABC19980304.1830.1636,21,become
1671461317,true,golden,72,"",no_its_negation,0.7769,her back .,No one,<p>Nobody hurried her up . </p><p>No one <span style='color:red;'><strong>held </strong></span>her back . </p>,no_its_negation,ABC19980304.1830.1636,19,held
1671461318,true,golden,74,"",yes_its_anchorable,0.9202,he had probably been killed soon after being captured .,"In January this year , British police officers who had been searching for Howes","<p>Howes ' team was clearing mines 17 kilometers ( 10 miles ) from Angkor Wat , the fabled 11th century temple that is Cambodia 's main tourist attraction , when it was attacked . </p><p>In January this year , British police officers who had been searching for Howes <span style='color:red;'><strong>concluded </strong></span>he had probably been killed soon after being captured . </p>",yes_its_anchorable,APW19980219.0476,16,concluded
1671461319,true,golden,73,"",yes_its_anchorable,0.72,out at their headquarters at Anlong Veng in northern Cambodia near the Thai border .,A small hardcore group under Pol Pot continued to,"<p>Other commanders , and thousands of guerrillas , followed him . </p><p>A small hardcore group under Pol Pot continued to <span style='color:red;'><strong>hold </strong></span>out at their headquarters at Anlong Veng in northern Cambodia near the Thai border . </p>",yes_its_anchorable,APW19980219.0476,68,hold
1671461320,true,golden,75,"",yes_its_anchorable,0.765,commander of the Space Shuttle Columbia for a mission in December .,Air Force Lieutenant Colonel Eileen Collins will be,"<p>Finally today , we learned that the space agency has finally taken a giant leap forward . </p><p>Air Force Lieutenant Colonel Eileen Collins will be <span style='color:red;'><strong>named </strong></span>commander of the Space Shuttle Columbia for a mission in December . </p>",yes_its_anchorable,ABC19980304.1830.1636,2,named
1671461322,true,golden,74,"",no_its_negation,0.3623,at this crucial moment if the Iraqi leadership did not have a rational approach to the future . '',"In an interview from Jordan on ABC , he declined to discuss details , but said : `` I do n't think that his majesty would be","<p>Crown Prince Hassan , King Hussein 's brother and political adviser , was asked today about the message the king was said to be carrying . </p><p>In an interview from Jordan on ABC , he declined to discuss details , but said : `` I do n't think that his majesty would be <span style='color:red;'><strong>traveling </strong></span>at this crucial moment if the Iraqi leadership did not have a rational approach to the future . '' </p>",no_its_negation,AP900815-0044,145,traveling
1671461323,true,golden,73,"",yes_its_anchorable,0.839,to be carrying .,"Crown Prince Hassan , King Hussein 's brother and political adviser , was asked today about the message the king was","<p>The monarch will meet Bush on Thursday in Kennebunkport , Maine . </p><p>Crown Prince Hassan , King Hussein 's brother and political adviser , was asked today about the message the king was <span style='color:red;'><strong>said </strong></span>to be carrying . </p>",yes_its_anchorable,AP900815-0044,138,said
1671461324,true,golden,81,"",yes_its_anchorable,0.6698,"is extremely dangerous , '' she said .",`` The type of lifestyle these women,"<p>`` I have n't seen a pattern yet , '' said Patricia Hurt , the Essex County prosecutor , who created the task force on Tuesday . </p><p>`` The type of lifestyle these women <span style='color:red;'><strong>have </strong></span>is extremely dangerous , '' she said . </p>",no_its_static,NYT19980402.0453,41,have
1671461325,true,golden,78,"",yes_its_anchorable,0.5103,Saudi Arabia .,"In the largest U.S. military operation since Vietnam , an estimated 20,000 American GIs have already massed to","<p>An international land , sea and air force has mobilized since Iraq 's invasion , which was sparked by disputes over oil , land and repayment of war loans . </p><p>In the largest U.S. military operation since Vietnam , an estimated 20,000 American GIs have already massed to <span style='color:red;'><strong>defend </strong></span>Saudi Arabia . </p>",no_its_intentionwishopinion,AP900816-0139,84,defend
1671461326,true,golden,75,"",yes_its_anchorable,0.9654,an envoy to the Middle East on a series of stops to include Baghdad .,"In another mediation effort , the Soviet Union said today it had","<p>President Bush on Tuesday said the United States may extend its naval quarantine to Jordan 's Red Sea port of Aqaba to shut off Iraq 's last unhindered trade route . </p><p>In another mediation effort , the Soviet Union said today it had <span style='color:red;'><strong>sent </strong></span>an envoy to the Middle East on a series of stops to include Baghdad . </p>",yes_its_anchorable,AP900815-0044,15,sent
1671461327,false,golden,37,4/8/2018 23:14:15,yes_its_anchorable,0.6519,withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war .,"In a letter to President Hashemi Rafsanjani of Iran , read by a broadcaster over Baghdad radio , Saddam said he will","<p>The U.S. military buildup in Saudi Arabia continued at fever pace , with Syrian troops now part of a multinational force camped out in the desert to guard the Saudi kingdom from any new thrust by Iraq . </p><p>In a letter to President Hashemi Rafsanjani of Iran , read by a broadcaster over Baghdad radio , Saddam said he will <span style='color:red;'><strong>begin </strong></span>withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war . </p>",yes_its_anchorable,AP900815-0044,36,begin
1671461328,true,golden,70,"",yes_its_anchorable,0.8102,"his demise so many times , and the US has tried to hasten it on several occasions .",People have,"<p>For his part , Fidel Castro is the ultimate political survivor . </p><p>People have <span style='color:red;'><strong>predicted </strong></span>his demise so many times , and the US has tried to hasten it on several occasions . </p>",yes_its_anchorable,ABC19980120.1830.0957,0,predicted
1671461329,true,golden,79,"",yes_its_anchorable,1.0,tantalizing new evidence .,"The reason , authorities have","<p>Now officials are investigating whether , Rudolph , who remains at large , is linked to all three attacks . </p><p>The reason , authorities have <span style='color:red;'><strong>discovered </strong></span>tantalizing new evidence . </p>",yes_its_anchorable,CNN19980227.2130.0067,15,discovered
1671461330,true,golden,81,"",yes_its_anchorable,0.9565,on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .,"Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 , claiming Security Council resolutions","<p>Libya , which brought the case to the United Nations ' highest judicial body in its dispute with the United States and Britain , hailed the ruling and said it would press anew for a trial in a third neutral country . </p><p>Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 , claiming Security Council resolutions <span style='color:red;'><strong>imposed </strong></span>on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men . </p>",yes_its_anchorable,APW19980227.0476,15,imposed
1671461331,true,golden,75,"",no_its_intentionwishopinion,0.7279,the last remaining free port to most Iraqi trade as the economic embargo on materials to Iraq continued unabated .,Bush also said Thursday that King Hussein assured him Jordan would,"<p>After a two-hour meeting at his Kennebunkport home with King Hussein of Jordan , Bush said , `` I did not come away with any feeling of hope '' that Iraq would withdraw its army from Kuwait . </p><p>Bush also said Thursday that King Hussein assured him Jordan would <span style='color:red;'><strong>close </strong></span>the last remaining free port to most Iraqi trade as the economic embargo on materials to Iraq continued unabated . </p>",no_its_intentionwishopinion,AP900816-0139,22,close
1671461332,true,golden,75,"",no_its_intentionwishopinion,0.6368,to decreased demand for American exports .,And the weakness of the Asian economies is also likely to,"<p>The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar , a situation that is expected to lead to a surge of inexpensive imports into the United States , hurting American competitors . </p><p>And the weakness of the Asian economies is also likely to <span style='color:red;'><strong>lead </strong></span>to decreased demand for American exports . </p>",no_its_intentionwishopinion,NYT19980206.0460,88,lead
1671461333,true,golden,76,"",yes_its_anchorable,1.0,an envoy to the Middle East on a series of stops to include Baghdad .,"In another mediation effort , the Soviet Union said today it had","<p>President Bush on Tuesday said the United States may extend its naval quarantine to Jordan 's Red Sea port of Aqaba to shut off Iraq 's last unhindered trade route . </p><p>In another mediation effort , the Soviet Union said today it had <span style='color:red;'><strong>sent </strong></span>an envoy to the Middle East on a series of stops to include Baghdad . </p>",yes_its_anchorable,AP900815-0044,15,sent
1671461334,true,golden,79,"",no_its_intentionwishopinion,0.6589,for DNA .,Blassie 's mother now wants the remains in the tomb,"<p>But subsequently , they were lost . </p><p>Blassie 's mother now wants the remains in the tomb <span style='color:red;'><strong>tested </strong></span>for DNA . </p>",no_its_intentionwishopinion,ea980120.1830.0456,9,tested
1671461335,true,golden,70,"",yes_its_anchorable,0.9302,about the safety of Americans and other Westerners trapped in Kuwait .,Worries however,"<p>At a news conference , Secretary of State James A. Baker III said Jordan `` is seeking some guidance '' about a provision in the U.N. - backed trade embargo that allows food for humanitarian purposes . </p><p>Worries however <span style='color:red;'><strong>grew </strong></span>about the safety of Americans and other Westerners trapped in Kuwait . </p>",yes_its_anchorable,AP900816-0139,34,grew
1671461336,true,golden,86,"",no_its_intentionwishopinion,0.8517,.,Everyone appears to believe that somehow Cuba is going to,"<p>Not all Cubans believe , but Castro has invited everyone to welcome the man who has been one of Communism 's most effective adversaries , and that 's why there is suspense . </p><p>Everyone appears to believe that somehow Cuba is going to <span style='color:red;'><strong>change </strong></span>. </p>",no_its_intentionwishopinion,ea980120.1830.0071,19,change
